"","subject","node","timepoint","value"
"1",1,1,1,-2.25054053330953
"51",1,1,2,-0.395854998226519
"101",1,1,3,-0.475620217443102
"151",1,1,4,-0.999269953820361
"201",1,1,5,-1.10589231071597
"251",1,1,6,0.223905486265282
"301",1,1,7,-1.45921916761569
"351",1,1,8,-1.89490083831193
"401",1,1,9,-1.36814018823952
"451",1,1,10,-2.62707183959931
"501",1,1,11,0.045153056482583
"551",1,1,12,-0.452810273431085
"601",1,1,13,0.462884423952588
"651",1,1,14,-0.202413210247295
"701",1,1,15,-0.671611866395475
"751",1,1,16,1.73959591540571
"801",1,1,17,-0.536742920066509
"851",1,1,18,2.0900877689792
"901",1,1,19,-2.38784346733804
"951",1,1,20,-0.628020732492538
"1001",1,1,21,0.0279755104170026
"1051",1,1,22,-1.10719218747425
"1101",1,1,23,-1.96062488528903
"1151",1,1,24,-1.08095659166767
"1201",1,1,25,-1.9676472920205
"1251",1,1,26,-2.96176006618969
"1301",1,1,27,-2.08362211775144
"1351",1,1,28,-0.773984621083545
"1401",1,1,29,-0.358653133327685
"1451",1,1,30,-0.496488735108651
"1501",1,1,31,-1.70730093935643
"1551",1,1,32,0.613694402444767
"1601",1,1,33,-0.0734816447191783
"1651",1,1,34,-1.31342325520634
"1701",1,1,35,-2.38290856346964
"1751",1,1,36,-0.288306485108096
"1801",1,1,37,-1.00788094485712
"1851",1,1,38,0.318239475154036
"1901",1,1,39,-2.14996568141426
"1951",1,1,40,-0.663903634743798
"2001",1,1,41,-2.01515432573205
"2051",1,1,42,-0.459942900299504
"2101",1,1,43,-1.11986841329165
"2151",1,1,44,-1.59142668018296
"2201",1,1,45,-2.42250347392805
"2251",1,1,46,-1.02333651425324
"2301",1,1,47,-1.33811141484066
"2351",1,1,48,0.293261927001162
"2401",1,1,49,-0.230720868871907
"2451",1,1,50,0.141262105935944
"2501",1,2,1,-0.753467719994466
"2551",1,2,2,-1.66659724651959
"2601",1,2,3,-1.23328477795875
"2651",1,2,4,-1.93879157303347
"2701",1,2,5,-1.6448747529937
"2751",1,2,6,-2.14485777118802
"2801",1,2,7,-0.00679218518561613
"2851",1,2,8,-1.90052530417013
"2901",1,2,9,-2.73691877085048
"2951",1,2,10,-2.03155000542719
"3001",1,2,11,-2.2135402725523
"3051",1,2,12,-1.30841553080409
"3101",1,2,13,-0.188182226792385
"3151",1,2,14,-3.02600966936875
"3201",1,2,15,0.397984347987197
"3251",1,2,16,-0.634403676721
"3301",1,2,17,-1.19022057138233
"3351",1,2,18,0.54947312978063
"3401",1,2,19,-2.15355032902513
"3451",1,2,20,-2.101744897785
"3501",1,2,21,-1.53784287734609
"3551",1,2,22,-2.75591580618382
"3601",1,2,23,-1.72539051387
"3651",1,2,24,-1.13138802576186
"3701",1,2,25,0.0583826124860409
"3751",1,2,26,-2.60105022789318
"3801",1,2,27,-1.57434829506987
"3851",1,2,28,-2.15653178285503
"3901",1,2,29,-1.63457683773858
"3951",1,2,30,-1.93542875067882
"4001",1,2,31,-0.283111840824416
"4051",1,2,32,-2.12112946828986
"4101",1,2,33,-1.93272579432374
"4151",1,2,34,-0.673142460985913
"4201",1,2,35,-1.15729686264891
"4251",1,2,36,0.623668464246727
"4301",1,2,37,-0.619667365935263
"4351",1,2,38,-2.07810304555091
"4401",1,2,39,-2.53766205642281
"4451",1,2,40,-2.0517507336155
"4501",1,2,41,-1.61619453945438
"4551",1,2,42,-2.11245372695198
"4601",1,2,43,-1.87696934138761
"4651",1,2,44,-2.33087684751497
"4701",1,2,45,-1.00170122385488
"4751",1,2,46,-0.674427704479962
"4801",1,2,47,-2.42884185795244
"4851",1,2,48,-1.47909101990953
"4901",1,2,49,-0.286358511723581
"4951",1,2,50,-1.45770472416476
"5001",1,3,1,-2.2389301330818
"5051",1,3,2,-2.18792076129556
"5101",1,3,3,-0.898489794370047
"5151",1,3,4,-2.21213178369328
"5201",1,3,5,1.49196745950441
"5251",1,3,6,-1.21400225502965
"5301",1,3,7,2.06258672329153
"5351",1,3,8,-3.15034595621326
"5401",1,3,9,-3.97855221087518
"5451",1,3,10,0.0296754850727616
"5501",1,3,11,-2.27501052206213
"5551",1,3,12,-0.0733283881456965
"5601",1,3,13,-2.59080923073396
"5651",1,3,14,-0.984195346176323
"5701",1,3,15,-0.234188865464341
"5751",1,3,16,-1.43743379437924
"5801",1,3,17,-1.41073673047289
"5851",1,3,18,-1.6794330943701
"5901",1,3,19,-0.145384051559753
"5951",1,3,20,-1.17022155739331
"6001",1,3,21,-1.88083416896209
"6051",1,3,22,-2.78124749805373
"6101",1,3,23,-0.871874848141562
"6151",1,3,24,-0.530033327610553
"6201",1,3,25,-1.17267925658082
"6251",1,3,26,0.875130130829164
"6301",1,3,27,-3.77806129612785
"6351",1,3,28,-0.180844771280344
"6401",1,3,29,-1.54246244398078
"6451",1,3,30,-2.37414331552219
"6501",1,3,31,-1.15777120699809
"6551",1,3,32,-2.02125317090696
"6601",1,3,33,-2.32512261639557
"6651",1,3,34,-1.88144830023304
"6701",1,3,35,-2.34326518867631
"6751",1,3,36,-2.93725361466859
"6801",1,3,37,0.0944772097676995
"6851",1,3,38,-2.41891880380895
"6901",1,3,39,-3.29232842176478
"6951",1,3,40,-0.115849135755603
"7001",1,3,41,-2.18544716874867
"7051",1,3,42,-2.14639829559328
"7101",1,3,43,-1.03515431566406
"7151",1,3,44,0.755638619470565
"7201",1,3,45,-2.56980259565196
"7251",1,3,46,-1.44714240793624
"7301",1,3,47,-2.10872035546738
"7351",1,3,48,-0.354996978547127
"7401",1,3,49,-1.74414843059203
"7451",1,3,50,1.60121876467252
"7501",1,4,1,-2.26030097812814
"7551",1,4,2,-0.750234480881864
"7601",1,4,3,-0.264796135201095
"7651",1,4,4,-1.55955151238576
"7701",1,4,5,-0.761321145034778
"7751",1,4,6,-1.72272919096556
"7801",1,4,7,-1.74424452146193
"7851",1,4,8,-0.760596612721819
"7901",1,4,9,-1.40437500840659
"7951",1,4,10,-0.654093904613021
"8001",1,4,11,-2.69537749333483
"8051",1,4,12,-2.82229829395591
"8101",1,4,13,-2.00952214166754
"8151",1,4,14,-2.05849172494316
"8201",1,4,15,-1.03511615148389
"8251",1,4,16,-2.01022992742081
"8301",1,4,17,-2.04788806235859
"8351",1,4,18,-0.55127074286716
"8401",1,4,19,-1.44945387186378
"8451",1,4,20,-0.697205815673792
"8501",1,4,21,-0.645386466103341
"8551",1,4,22,-4.42574216051014
"8601",1,4,23,-3.4268723814276
"8651",1,4,24,-2.21031777271405
"8701",1,4,25,0.835119726416276
"8751",1,4,26,-1.91667122980743
"8801",1,4,27,-0.942743587248975
"8851",1,4,28,-1.23179739648738
"8901",1,4,29,-1.13058216927641
"8951",1,4,30,-4.31151598298094
"9001",1,4,31,-1.71397738459113
"9051",1,4,32,-2.36364768885525
"9101",1,4,33,-1.00289285958122
"9151",1,4,34,-2.41291467562687
"9201",1,4,35,-2.53881088323329
